SLC5A10,A0PJK1
ASNS,P08243
GSTA1,P08263
SOD3,P08294
ADH4,P08319
HMBS,P08397
PDHA1,P08559
CYC1,P08574
CYP3A4,P08684
CYP21A2,P08686
STS,P08842
ENO2,P09104
ACAA1,P09110
DBH,P09172
GSTP1,P09211
QDPR,P09417
FBP1,P09467
GSTM1,P09488
CNP,P09543
HMOX1,P09601
DLD,P09622
COX6C,P09669
LCT,P09848
ALOX5,P09917
ALPI,P09923
LTA4H,P09960
ALDOC,P09972
PLA2G4B,P0C869
SULT1A3,P0DMM9
AMY1B,P0DTE7
AMY1C,P0DTE8
AMY1A,P0DUB6
COX8A,P10176
GAA,P10253
DLAT,P10515
COX5B,P10606
CTSA,P10619
MGST1,P10620
CYP2C8,P10632
CYP2D6,P10635
ALPG,P10696
UROS,P10746
ESD,P10768
ACP2,P11117
LIPC,P11150
SLC2A1,P11166
SLC2A2,P11168
SLC2A3,P11169
UMPS,P11172
PDHB,P11177
DBT,P11182
PYGB,P11216
PYGM,P11217
ACADM,P11310
G6PD,P11413
PC,P11498
CYP2A6,P11509
CYP19A1,P11511
MTHFD1,P11586
EPX,P11678
CYP2C9,P11712
ADH5,P11766
PRPS2,P11908
ODC1,P11926
COX6A1,P12074
SLC25A4,P12235
SLC25A6,P12236
IMPDH2,P12268
CKB,P12277
CKMT1B,P12532
BCKDHA,P12694
ACE,P12821
PEPD,P12955
COX4I1,P13073
ALAS1,P13196
CFTR,P13569
CYP4B1,P13584
ATP1A3,P13637
P4HA1,P13674
ACP5,P13686
ALAD,P13716
ETFA,P13804
GYS1,P13807
SLC5A1,P13866
ENO3,P13929
MTHFD2,P13995
HSD3B1,P14060
HSD17B1,P14061
FOLR2,P14207
FDPS,P14324
COX7A2,P14406
SI,P14410
ATP1B2,P14415
AKR1A1,P14550
PLA2G2A,P14555
PKM,P14618
ACYP2,P14621
SLC2A4,P14672
TYR,P14679
COX6B1,P14854
IDO1,P14902
DAO,P14920
UQCRB,P14927
CPA1,P15085
GLUL,P15104
AKR1B1,P15121
ANPEP,P15144
PGAM2,P15259
B4GALT1,P15291
ACPP,P15309
ATP6V1B1,P15313
FOLR1,P15328
NME1,P15531
CYP11B1,P15538
GNS,P15586
ARSB,P15848
ST6GAL1,P15907
COX7C,P15954
ALOX15,P16050
NPR1,P16066
PFKFB1,P16118
CBR1,P16152
ACADS,P16219
PNLIP,P16233
GLB1,P16278
POR,P16435
ABO,P16442
DPEP1,P16444
PDE6A,P16499
UGT2B7,P16662
CD36,P16671
PLCG2,P16885
FAH,P16930
NAGA,P17050
GOT1,P17174
SMPD1,P17405
AKR1C4,P17516
CKMT2,P17540
NDUFB7,P17568
TYRP1,P17643
AMD1,P17707
TAT,P17735
TPH1,P17752
CTPS1,P17812
PFKL,P17858
ALOX12,P18054
GPX2,P18283
SRD5A1,P18405
PDE6G,P18545
PGAM1,P18669
ATP5PF,P18859
CYP11B2,P19099
PLCG1,P19174
UGT1A6,P19224
HK1,P19367
NDUFV2,P19404
GGT1,P19440
FUT1,P19526
SRM,P19623
SLC9A1,P19634
AOC1,P19801
CEL,P19835
AMY2B,P19961
TYMP,P19971
ATP2B1,P20020
SDS,P20132
TPSB2,P20231
NPR2,P20594
ATP4A,P20648
COX5A,P20674
DDC,P20711
CYP2B6,P20813
CYP3A5,P20815
IMPDH1,P20839
CYP2A7,P20853
AGA,P20933
PRPS1L1,P21108
FUT3,P21217
ATP6V1B2,P21281
ATP6V1C1,P21283
MAOA,P21397
ACO1,P21399
ABCB4,P21439
AGXT,P21549
NT5E,P21589
GPD1,P21695
SDHB,P21912
BCKDHB,P21953
COMT,P21964
MUT,P22033
LPO,P22079
GART,P22102
PAICS,P22234
ACHE,P22303
IDS,P22304
UGT1A1,P22309
UGT1A4,P22310
GPX3,P22352
NME2,P22392
ENPP1,P22413
ALAS2,P22557
CYP7A1,P22680
UQCRC2,P22695
SLC2A5,P22732
CA4,P22748
AADAC,P22760
FECH,P22830
AMPD1,P23109
PTGS1,P23219
CA6,P23280
ME2,P23368
GLDC,P23378
GCSH,P23434
AHCY,P23526
ITPKA,P23677
DGKA,P23743
CPT2,P23786
DTYMK,P23919
RRM1,P23921
CMA1,P23946
SLC6A2,P23975
GPT,P24298
COX7A1,P24310
COX7B,P24311
CYP3A7,P24462
ATP5PB,P24539
TBXAS1,P24557
ACP1,P24666
CYP2F1,P24903
GUCY2C,P25092
MPST,P25325
ATP5F1A,P25705
UCP1,P25874
DNMT1,P26358
HSD3B2,P26439
IVD,P26440
MGAT1,P26572
AK4,P27144
MAOB,P27338
ATP6V0C,P27449
DCK,P27707
PDE4A,P27815
PIK3R1,P27986
ITPKB,P27987
ABCD3,P28288
CHAT,P28329
ACADL,P28330
NDUFS1,P28331
ADH6,P28332
LAP3,P28838
HSD11B1,P28845
CD38,P28907
IMPA1,P29218
PDHA2,P29803
AQP1,P29972
ALDH4A1,P30038
PRDX6,P30041
BLVRB,P30043
PRDX3,P30048
ATP5F1D,P30049
ECHS1,P30084
CMPK1,P30085
HMOX2,P30519
ADSS,P30520
SLC6A1,P30531
ADSL,P30566
PKLR,P30613
GCH1,P30793
SLC7A1,P30825
ALDH1B1,P30837
ALDH3A1,P30838
SDHA,P31040
MAT2A,P31153
SRD5A2,P31213
CPS1,P31327
RRM2,P31350
FMO3,P31513
SLC5A2,P31639
SLC6A6,P31641
SLC6A4,P31645
UQCRC1,P31930
HIBADH,P31937
ATIC,P31939
INPP5B,P32019
PRDX2,P32119
GK,P32189
CDA,P32320
DCTD,P32321
PYCR1,P32322
SLC8A1,P32418
HPD,P32754
ACSL1,P33121
CYP2C18,P33260
CYP2C19,P33261
DUT,P33316
GUCY1A2,P33402
ABCC1,P33527
ABCD1,P33897
MAN1A1,P33908
GALNS,P34059
SHMT1,P34896
SHMT2,P34897
EPHX2,P34913
MPI,P34949
CA5A,P35218
CA8,P35219
SPR,P35270
PTGS2,P35354
IDUA,P35475
UGT1A3,P35503
UGT1A5,P35504
CBS,P35520
PCK1,P35558
AGL,P35573
G6PC,P35575
GLRX,P35754
CHKA,P35790
PDE6B,P35913
HMGCL,P35914
SLC16A2,P36021
GGT2,P36268
GGT5,P36269
UGT2B10,P36537
ATP5F1C,P36542
ATP6V1E1,P36543
CPOX,P36551
PGM1,P36871
DLST,P36957
GMPR,P36959
GPX4,P36969
HSD17B3,P37058
HSD17B2,P37059
FDFT1,P37268
PIGA,P37287
TALDO1,P37837
ETFB,P38117
LIPA,P38571
ATP6V1A,P38606
PLA2G5,P39877
DCT,P40126
ADCY8,P40145
NNMT,P40261
ADH7,P40394
SLC26A3,P40879
MDH1,P40925
MDH2,P40926
HADHA,P40939
AQP2,P41181
PTGDS,P41222
NAA10,P41227
PNPLA4,P41247
FOLR3,P41439
SLC19A1,P41440
ECI1,P42126
PIK3CA,P42336
PIK3CB,P42338
PI4KA,P42356
HAL,P42357
ACAA2,P42765
MTHFR,P42898
SLC1A3,P43003
SLC1A2,P43004
SLC1A1,P43005
SLC1A4,P43007
PAFAH1B1,P43034
GUCA1A,P43080
CRAT,P43155
CA7,P43166
BTD,P43251
GPD2,P43304
ALDH3B1,P43353
NAMPT,P43490
ASPA,P45381
ACADSB,P45954
SLC15A1,P46059
NSF,P46459
ASMT,P46597
SLCO1A2,P46721
GNPDA1,P46926
HAAO,P46952
GYG1,P46976
PLA2G4A,P47712
ALDH1A3,P47895
UQCRFS1,P47985
XDH,P47989
SLC6A8,P48029
ATP5PO,P48047
CPA2,P48052
SLC6A12,P48065
SLC6A11,P48066
SLC6A9,P48067
ME1,P48163
IREB2,P48200
ATP5MC3,P48201
PIP4K2A,P48426
ALDH3B2,P48448
LSS,P48449
GCLC,P48506
GCLM,P48507
GSS,P48637
PTDSS1,P48651
SLC1A6,P48664
AMT,P48728
IDH2,P48735
PIK3CG,P48736
SLC4A3,P48751
SLC9A3,P48764
TDO2,P48775
ALDH9A1,P49189
RPIA,P49247
SLC11A1,P49279
SLC11A2,P49281
FMO5,P49326
FASN,P49327
ALDH7A1,P49419
INPP1,P49441
GLUD2,P49448
PCYT1A,P49585
DGKG,P49619
MAN2A2,P49641
ACADVL,P49748
ACOT2,P49753
NDUFV1,P49821
SULT1E1,P49888
NT5C2,P49902
SEPHS1,P49903
MTHFS,P49914
GMPS,P49915
ENTPD1,P49961
KHK,P50053
HNMT,P50135
IDH3A,P50213
SULT1A1,P50225
SULT1A2,P50226
CPT1A,P50416
GATM,P50440
SLC26A2,P50443
NUDT2,P50583
HLCS,P50747
PPT1,P50897
ATP1A2,P50993
PDE6C,P51160
ATP4B,P51164
PLCD1,P51178
IDH3G,P51553
GALK1,P51570
CYP2J2,P51589
RENBP,P51606
ALDH3A2,P51648
ALDH5A1,P51649
HSD17B4,P51659
SUOX,P51687
SGSH,P51688
ADCY7,P51828
GUCY2F,P51841
TKTL1,P51854
AKR1D1,P51857
NDUFA8,P51970
PGD,P52209
DGKE,P52429
SLC7A2,P52569
SMS,P52788
HK2,P52789
HK3,P52790
DGKQ,P52824
NDST1,P52848
NDST2,P52849
BLVRA,P53004
SLC25A1,P53007
ACLY,P53396
SUCLG1,P53597
MVD,P53602
SLC5A3,P53794
SLC16A1,P53985
SLC18A1,P54219
PNLIPRP1,P54315
BCAT1,P54687
ATP1B3,P54709
PDE1A,P54750
NAGLU,P54802
GALC,P54803
AK2,P54819
GYS2,P54840
UGT2B15,P54855
HMGCS2,P54868
ALDH18A1,P54886
SLC12A2,P55011
SLC12A3,P55017
AQP5,P55064
HADHB,P55084
AQP4,P55087
ADK,P55263
OXCT1,P55809
UCP2,P55851
UCP3,P55916
ATP5MF,P56134
NDUFV3,P56181
ATP5F1E,P56381
ATP5ME,P56385
NDUFA6,P56556
HSD17B7,P56937
PIGP,P57054
SLC37A1,P57057
SLC8A3,P57103
TPI1,P60174
PTEN,P60484
PRPS1,P60891
ATP6V0D1,P61421
PCBD1,P61457
PAFAH1B2,P68402
CYP4F2,P78329
PSPH,P78330
PIP4K2B,P78356
ABCA4,P78363
SLC35A2,P78381
SLC35A1,P78382
GSTO1,P78417
ARG2,P78540
PHEX,P78562
HSD11B2,P80365
ABAT,P80404
SLC7A9,P82251
LRP2,P98164
CYP4F8,P98187
MAT1A,Q00266
SLC25A3,Q00325
PLCB2,Q00722
SORD,Q00796
B4GALNT1,Q00973
PDE1B,Q01064
GALK2,Q01415
AMPD3,Q01432
AMPD2,Q01433
HMGCS1,Q01581
SLC7A5,Q01650
FMO1,Q01740
PFKP,Q01813
SLC6A3,Q01959
OCRL,Q01968
PLCB3,Q01970
RHAG,Q02094
GUCY1A1,Q02108
DHODH,Q02127
GUCY1B1,Q02153
OGDH,Q02218
COX6A2,Q02221
ALDH6A1,Q02252
CYP27A1,Q02318
BDH1,Q02338
GCNT1,Q02742
PLOD1,Q02809
GUCY2D,Q02846
CYP4A11,Q02928
SLC25A11,Q02978
ACY1,Q03154
PTS,Q03393
MVK,Q03426
GBE1,Q04446
GLO1,Q04760
AKR1C1,Q04828
GAD2,Q05329
FPGS,Q05932
SLC18A2,Q05940
ATP5MC2,Q06055
KDSR,Q06136
PPAT,Q06203
GFPT1,Q06210
AOX1,Q06278
SULT2A1,Q06520
PRDX1,Q06830
PIGF,Q07326
PDE4B,Q07343
SLC3A1,Q07837
CYP24A1,Q07973
SLC20A2,Q08357
EHHADH,Q08426
ADCY2,Q08462
CYP4F3,Q08477
PDE4C,Q08493
PDE4D,Q08499
ADCY1,Q08828
ACSM1,Q08AH1
MGAT3,Q09327
MGAT5,Q09328
ABCC8,Q09428
PLCXD2,Q0VAA5
MGAT2,Q10469
GALNT2,Q10471
GALNT1,Q10472
ST3GAL1,Q11201
ST3GAL3,Q11203
ST3GAL4,Q11206
DPYD,Q12882
SLC10A2,Q12908
ECH1,Q13011
COASY,Q13057
ACACA,Q13085
PLA2G7,Q13093
MTAP,Q13126
SLC13A2,Q13183
CHIT1,Q13231
NME3,Q13232
SLC14A1,Q13336
PDE3B,Q13370
PLD1,Q13393
NNT,Q13423
TUSC3,Q13454
TCIRG1,Q13488
ASAH1,Q13510
DGKZ,Q13574
MTMR1,Q13613
MTMR2,Q13614
MTMR3,Q13615
SLC12A1,Q13621
TSTA3,Q13630
MOGS,Q13724
ATP1A4,Q13733
ENPP2,Q13822
AUH,Q13825
IDI1,Q13907
PDE7A,Q13946
PDE6H,Q13956
BAAT,Q14032
DPYS,Q14117
PDE1C,Q14123
DPYSL3,Q14195
GAMT,Q14353
GALE,Q14376
GGTLC2,Q14390
GK2,Q14410
PDE3A,Q14432
GALNT3,Q14435
PIGH,Q14442
SQLE,Q14534
SLC29A2,Q14542
INPP5A,Q14642
KCNJ11,Q14654
GANAB,Q14697
GNMT,Q14749
STARD3,Q14849
SLC17A1,Q14916
SLC9A5,Q14940
SLC10A1,Q14973
SETDB1,Q15047
ACOX1,Q15067
PAFAH1B3,Q15102
PLCL1,Q15111
EBP,Q15125
PMVK,Q15126
PLCB4,Q15147
PON3,Q15166
PPA1,Q15181
PTGES3,Q15185
QPRT,Q15274
DHCR24,Q15392
TPSAB1,Q15661
INPP5J,Q15735
NSDHL,Q15738
SLC1A5,Q15758
MSMO1,Q15800
KCNJ8,Q15842
SLC14A2,Q15849
ETFDH,Q16134
UAP1,Q16222
SLC15A2,Q16348
EXT1,Q16394
DPYSL2,Q16555
SLC18A3,Q16572
AANAT,Q16613
PTGIS,Q16647
CYP1B1,Q16678
CYP2A13,Q16696
DECR1,Q16698
MAN2A1,Q16706
NDUFA5,Q16718
KYNU,Q16719
ATP2B3,Q16720
UGCG,Q16739
DGKD,Q16760
TST,Q16762
KYAT1,Q16773
GUK1,Q16774
HAGH,Q16775
CA9,Q16790
NDUFA9,Q16795
ME3,Q16798
PCK2,Q16822
UPP1,Q16831
HADH,Q16836
ST3GAL2,Q16842
CYP51A1,Q16850
UGP2,Q16851
AOC3,Q16853
DGUOK,Q16854
ATP6V1F,Q16864
LTC4S,Q16873
PFKFB3,Q16875
PFKFB4,Q16877
CDO1,Q16878
UGT8,Q16880
TXNRD1,Q16881
SLC5A12,Q1EHB4
SLC5A9,Q2M3M2
HKDC1,Q2TB90
SLC4A8,Q2Y0W8
PGGHG,Q32M88
PGS1,Q32NB8
ACOT6,Q3I5F7
UAP1L1,Q3KQV9
PLA2G4E,Q3MJ16
ALDH1L2,Q3SY69
MOGAT2,Q3SYC2
SLC36A2,Q495M3
NADK2,Q4G0N4
PLCH1,Q4KWH8
SLC22A6,Q4U2R8
GPAT3,Q53EU6
PYCR3,Q53H96
CYBRD1,Q53TN4
TNNI3K,Q59H18
ALG10,Q5BKT4
CMPK2,Q5EBM0
ACSBG2,Q5FVE4
PIGG,Q5H8A4
MDH1B,Q5I0G3
SLC27A3,Q5K4L6
ENTPD8,Q5MY95
LGSN,Q5TDP6
AFMID,Q63HM1
SLC22A10,Q63ZE4
B3GNTL1,Q67FW5
SLC6A19,Q695T7
SLC9A4,Q6AI14
NADSYN1,Q6IA69
ACAD10,Q6JQN1
CYP4F22,Q6NT55
GPAT2,Q6NUI2
HIBCH,Q6NVY1
SLC27A4,Q6P1M0
GGT6,Q6P531
CYB5D1,Q6P9G0
SLC27A1,Q6PCB7
HAGHL,Q6PII5
SLC2A7,Q6PXP3
DEGS2,Q6QHC5
PAOX,Q6QHF9
SLC4A10,Q6U841
MTHFD1L,Q6UB35
MOXD1,Q6UVY6
LYZL1,Q6UWQ5
ENPP7,Q6UWV6
NAPRT,Q6XQN6
SLC36A4,Q6YBV0
COX6B2,Q6YFQ2
KYAT3,Q6YP21
B3GNT6,Q6ZMB0
LDHAL6A,Q6ZMR3
TMEM91,Q6ZNR0
IDO2,Q6ZQW0
CYP4V2,Q6ZWL3
MBOAT2,Q6ZWT7
ACAD11,Q709F0
SLC25A26,Q70HW3
PGAP1,Q75T13
SLC35D2,Q76EJ3
ASRGL1,Q7L266
SLC26A9,Q7LBE3
RRM2B,Q7LG56
HS2ST1,Q7LGA3
CHST3,Q7LGC8
SLC29A4,Q7RTT9
SLC36A1,Q7Z2H8
COX8C,Q7Z4L0
DCXR,Q7Z4W1
ATP5MGL,Q7Z4Y8
PIGW,Q7Z7B1
B3GNT8,Q7Z7M8
GALNT5,Q7Z7M9
GALNT7,Q86SF2
SCD5,Q86SK9
GALNT10,Q86SR1
ACOT1,Q86TX2
ASPG,Q86U10
GPAT4,Q86UL3
AACS,Q86V21
PIGZ,Q86VD9
TXNRD3,Q86VQ6
COMTD1,Q86VU5
SGMS1,Q86VZ5
CYP4Z1,Q86W10
SLC26A11,Q86WA9
LDHD,Q86WU2
CHSY1,Q86X52
DGKH,Q86XP1
XYLT1,Q86Y38
NDUFA11,Q86Y39
ECHDC2,Q86YB7
SLC13A5,Q86YT5
PLCZ1,Q86YW0
GALNT13,Q8IUC8
MCAT,Q8IVS2
GLYCTK,Q8IVS8
TPH2,Q8IWU9
ADHFE1,Q8IWW8
SGPP2,Q8IWX5
UEVLD,Q8IX04
GALNT12,Q8IXK2
SLC15A3,Q8IY34
THNSL1,Q8IYQ7
CHPF,Q8IZ52
HS6ST3,Q8IZP7
RDH10,Q8IZV5
GCNT2,Q8N0V5
FUK,Q8N0W3
CYP4X1,Q8N118
SLC34A3,Q8N130
ADSSL1,Q8N142
NAGS,Q8N159
CA13,Q8N1Q1
SLC43A2,Q8N370
PLCD3,Q8N3E9
SDR16C5,Q8N3Y7
GALNT4,Q8N4A0
FTMT,Q8N4E7
ZADH2,Q8N4Q0
CPA6,Q8N4T0
GBGT1,Q8N5D6
AADAT,Q8N5Z0
SLC5A8,Q8N695
SLC15A4,Q8N697
CSGALNACT2,Q8N6G5
ATP6V0D2,Q8N8Y2
ACOT4,Q8N9L9
RDH13,Q8NBN7
UXS1,Q8NBZ7
CHST4,Q8NCG5
CHST14,Q8NCH0
GALNT6,Q8NCL4
GALNT11,Q8NCW6
ST6GALNAC3,Q8NDV1
SLC17A8,Q8NDX2
CHDH,Q8NE62
PIK3C3,Q8NEB9
CHST13,Q8NET6
ATP6V1C2,Q8NEY4
KMT2C,Q8NEZ4
SLC24A4,Q8NFF2
FLAD1,Q8NFF5
ENGASE,Q8NFI3
B3GNT7,Q8NFL0
ADCY4,Q8NFM4
IPMK,Q8NFU5
CMAS,Q8NFW8
SLC35B2,Q8TB61
HMGCLL1,Q8TB92
NANP,Q8TBE9
ETNPPL,Q8TBG4
PIP4K2C,Q8TBX8
RDH11,Q8TC12
SLC22A8,Q8TCC7
NT5C,Q8TCD5
CPT1C,Q8TCG5
CERK,Q8TCT0
PHOSPHO1,Q8TCT1
GPT2,Q8TD30
